AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	RTF
1960.827	0.509	1960.827	1960.827	32.845	1960.827	1.0	1.017
1962.915	0.32	1962.915	1962.915	-81.167	1962.915	1.0	0.96
1965.221	0.303	1965.221	1965.221	-194.961	1965.221	1.0	0.91
1452.289	0.512	1452.289	1452.289	35.146	1452.289	1.0	1.025
1797.126	0.342	1797.126	1797.126	43.294	1797.126	1.0	1.025
1760.492	0.512	1760.492	1760.492	41.49	1760.492	1.0	1.024
1725.897	0.342	1725.897	1725.897	41.725	1725.897	1.0	1.025
1958.799	0.179	1958.799	1958.799	-770.271	1958.799	1.0	0.718
1956.922	0.044	1956.922	1956.922	-2049.246	1956.922	1.0	0.488
							
1966.669	0.473	1966.669	1966.669	-112.242	1966.669	1.0	0.946
1969.007	0.305	1969.007	1969.007	-179.564	1969.007	1.0	0.916
1962.782	0.074	1962.782	1962.782	-1822.796	1962.782	1.0	0.518
1961.125	0.08	1961.125	1961.125	-2103.093	1961.125	1.0	0.483
1963.501	0.145	1963.501	1963.501	-742.349	1963.501	1.0	0.726
							
1961.16	0.204	1961.16	1961.16	-444.237	1961.16	1.0	0.815
1961.144	0.191	1961.144	1961.144	-605.387	1961.144	1.0	0.764
1466.395	1.026	1466.395	1466.395	37.642	1466.395	1.0	1.026
1561.14	0.513	1561.14	1561.14	39.507	1561.14	1.0	1.026
1611.817	0.513	1611.817	1611.817	42.338	1611.817	1.0	1.027
1958.381	0.081	1958.381	1958.381	-1513.728	1958.381	1.0	0.564
1972.765	0.208	1972.765	1972.765	-396.396	1972.765	1.0	0.833
1974.035	0.2	1974.035	1974.035	-499.616	1974.035	1.0	0.798
1979.224	0.254	1979.224	1979.224	-622.136	1979.224	1.0	0.761
1965.459	0.223	1965.459	1965.459	-972.591	1965.459	1.0	0.669
1910.979	0.514	1910.979	1910.979	52.657	1910.979	1.0	1.028
1720.676	0.518	1720.676	1720.676	59.723	1720.676	1.0	1.036
1971.634	0.156	1971.634	1971.634	-560.067	1971.634	1.0	0.779
1973.052	0.13	1973.052	1973.052	-1059.284	1973.052	1.0	0.651
1993.051	0.24	1993.051	1993.051	-770.849	1993.051	1.0	0.721
1968.37	0.18	1968.37	1968.37	-772.31	1968.37	1.0	0.718
1963.005	0.303	1963.005	1963.005	-197.177	1963.005	1.0	0.909
1959.102	0.051	1959.102	1959.102	-2836.544	1959.102	1.0	0.409
1995.555	0.043	1995.555	1995.555	-3126.576	1995.555	1.0	0.39
1984.28	0.172	1984.28	1984.28	-895.72	1984.28	1.0	0.689
1978.151	0.188	1978.151	1978.151	-646.429	1978.151	1.0	0.754
1976.834	0.247	1976.834	1976.834	-20.808	1976.834	1.0	0.99
1667.805	0.513	1667.805	1667.805	41.683	1667.805	1.0	1.026
1972.48	0.087	1972.48	1972.48	-1801.488	1972.48	1.0	0.523
1965.127	0.074	1965.127	1965.127	-1832.061	1965.127	1.0	0.518
1970.856	0.119	1970.856	1970.856	-781.434	1970.856	1.0	0.716
							
							
1875.7	0.514	1875.7	1875.7	52.208	1875.7	1.0	1.029
1843.55	0.512	1843.55	1843.55	43.278	1843.55	1.0	1.024
1959.23	0.163	1959.23	1959.23	-50.022	1959.23	1.0	0.975
1963.123	0.138	1963.123	1963.123	-882.047	1963.123	1.0	0.69
							
							
1995.522	0.05	1995.522	1995.522	-2440.215	1995.522	1.0	0.45
							
1979.801	0.085	1979.801	1979.801	-1366.004	1979.801	1.0	0.592
1970.816	0.079	1970.816	1970.816	-1605.783	1970.816	1.0	0.551
1963.743	0.333	1963.743	1963.743	0.931	1963.743	1.0	1.0
1936.243	0.341	1936.243	1936.243	43.091	1936.243	1.0	1.023
1990.742	0.221	1990.742	1990.742	-262.32	1990.742	1.0	0.884
1967.471	0.214	1967.471	1967.471	-333.436	1967.471	1.0	0.855
1967.792	0.113	1967.792	1967.792	-923.818	1967.792	1.0	0.681
1963.713	0.159	1963.713	1963.713	-509.938	1963.713	1.0	0.794
1859.958	0.257	1859.958	1859.958	48.076	1859.958	1.0	1.027
1734.111	0.345	1734.111	1734.111	60.143	1734.111	1.0	1.036
1424.91	0.344	1424.91	1424.91	42.597	1424.91	1.0	1.031
							
1637.767	0.343	1637.767	1637.767	46.475	1637.767	1.0	1.029
							
							
							
1964.984	0.123	1964.984	1964.984	-1240.095	1964.984	1.0	0.613
1972.862	0.154	1972.862	1972.862	-1232.217	1972.862	1.0	0.616
1971.322	0.055	1971.322	1971.322	-2046.456	1971.322	1.0	0.491
1969.309	0.228	1969.309	1969.309	-910.691	1969.309	1.0	0.684
1966.603	0.227	1966.603	1966.603	-925.007	1966.603	1.0	0.68
							
1414.671	1.032	1414.671	1414.671	43.968	1414.671	1.0	1.032
1877.274	0.515	1877.274	1877.274	53.782	1877.274	1.0	1.029
1972.247	0.162	1972.247	1972.247	-466.574	1972.247	1.0	0.809
1803.569	0.514	1803.569	1803.569	49.737	1803.569	1.0	1.028
1972.176	0.333	1972.176	1972.176	-2.246	1972.176	1.0	0.999
