AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
2076.022	0.156	1450.555	1037.39	240.0	2076.022	2	1996.689	1996.689	1	1.075
2028.344	0.176	1436.099	1037.789	280.0	2028.344	2	1938.639	1938.639	1	1.089
1816.073	0.239	1338.008	1035.256	240.0	1816.073	2	1648.39	1648.39	1	1.084
1837.265	0.183	1323.387	1031.681	540.0	1837.265	2	1460.68	1460.68	1	1.197
1758.57	0.207	1277.456	1023.317	240.0	1758.57	2	1474.24	1474.24	1	1.089
2340.457	0.23	2031.046	2031.046	660.0	2340.457	2	529.07	529.07	1	1.242
1826.011	0.208	1330.384	1043.341	320.0	1826.011	2	1535.51	1535.51	1	1.115
1555.003	0.26	1183.362	1033.538	420.0	1555.003	2	1009.841	1009.841	1	1.188
1758.201	0.245	1309.161	1034.304	680.0	1758.201	2	1534.24	1534.24	1	1.252
1913.66	0.144	1342.304	1042.293	240.0	1913.66	2	1536.78	1536.78	1	1.084
1655.498	0.253	1247.093	1045.796	280.0	1655.498	2	1130.431	1130.431	1	1.114
1734.095	0.541	1734.095	1734.095	740.0	1734.095	1	0.0	0.0	0	1.462
1852.98	0.181	1328.218	1033.2	680.0	1852.98	2	1578.73	1578.73	1	1.243
1995.216	0.18	1424.739	1032.551	820.0	1995.216	2	1822.54	1822.54	1	1.27
2003.589	0.18	1430.936	1037.728	820.0	2003.589	2	1754.15	1754.15	1	1.268
2016.396	0.178	1435.036	1028.566	800.0	2016.396	2	1800.59	1800.59	1	1.258
2671.176	0.168	2018.556	2018.556	720.0	2671.176	2	1250.839	1250.839	1	1.212
2669.684	0.172	2031.418	2031.418	880.0	2669.684	2	1117.959	1117.959	1	1.267
1307.722	0.285	1034.803	1034.803	280.0	1307.722	2	455.782	455.782	1	1.165
1026.718	0.096	1026.718	1026.718	-598.458	1026.718	1	0.0	0.0	0	0.663
1303.835	0.287	1026.496	1026.496	660.0	1303.835	2	533.968	533.968	1	1.394
1599.401	0.305	1237.061	1031.813	240.0	1599.401	2	1095.601	1095.601	1	1.099
1856.937	0.652	2015.226	2015.226	140.0	1856.937	2	107.891	107.891	1	1.061
2695.345	0.152	2019.195	2019.195	460.0	2695.345	2	1114.059	1114.059	1	1.135
2992.477	0.108	2154.356	2012.03	980.0	2992.477	2	1688.254	1688.254	1	1.253
616.038	1.973	1037.05	1037.05	440.0	932.591	2	6.213	6.213	1	1.347
1300.787	0.28	1022.03	1022.03	240.0	1300.787	2	479.002	479.002	1	1.14
2232.919	0.312	2028.566	2028.566	680.0	2232.919	2	354.376	354.376	1	1.26
2271.601	0.303	2025.492	2025.492	500.0	2271.601	2	512.29	512.29	1	1.182
1241.017	0.298	1030.448	1030.448	220.0	1241.017	2	313.243	313.243	1	1.143
1030.843	0.895	1030.843	1030.843	8.481	1030.843	1	0.0	0.0	0	1.007
1555.089	0.315	1215.388	1037.396	760.0	1555.089	2	964.671	964.671	1	1.336
1344.234	0.357	1089.867	1053.78	960.0	1344.234	2	475.782	475.782	1	1.566
1325.447	0.34	1060.63	1028.546	520.0	1325.447	2	505.442	505.442	1	1.295
1248.486	1.084	1248.486	1248.486	240.0	1248.486	1	0.0	0.0	0	1.208
605.843	1.965	1029.666	1029.666	523.991	919.845	2	0.0	0.0	0	1.417
1618.392	0.253	1219.662	1032.766	420.0	1618.392	2	1172.381	1172.381	1	1.176
2731.378	0.131	1825.655	1035.648	920.0	2731.378	2	3308.617	3308.617	1	1.203
1796.837	0.209	1311.325	1040.925	440.0	1796.837	2	1478.866	1478.866	1	1.162
2116.688	0.379	2020.344	2020.344	480.0	2116.688	2	316.871	316.871	1	1.192
2084.8	0.158	1468.362	1029.697	920.0	2084.8	2	1950.249	1950.249	1	1.29
2284.187	0.135	1554.935	1034.922	260.0	2284.187	2	2426.259	2426.259	1	1.071
1097.888	0.819	1097.888	1028.803	480.0	1097.888	2	707.982	707.982	1	1.249
1874.266	0.521	2019.847	2019.847	415.918	1874.266	2	0.0	0.0	0	1.203
1943.907	0.512	2017.771	2017.771	839.819	1943.907	2	0.0	0.0	0	1.389
1623.162	0.382	1623.162	1623.162	1200.0	1623.162	1	0.0	0.0	0	1.847
1303.459	0.434	1084.23	1038.75	920.0	1303.459	2	533.832	533.832	1	1.525
1843.996	0.215	1843.996	1843.996	880.0	1843.996	1	0.0	0.0	0	1.512
1834.196	0.363	1834.196	1834.196	840.0	1834.196	1	0.0	0.0	0	1.499
2130.111	0.453	2018.159	2018.159	180.0	2130.111	2	509.07	509.07	1	1.066
3045.585	0.134	2210.967	2031.823	1000.0	3045.585	2	1826.168	1826.168	1	1.25
1594.09	1.204	1594.09	1594.09	560.0	1594.09	1	0.0	0.0	0	1.423
1667.881	1.052	2034.37	2034.37	561.088	1667.881	2	0.0	0.0	0	1.27
1440.968	0.398	1172.396	1043.039	200.0	1440.968	2	908.571	908.571	1	1.093
2300.996	0.168	1591.2	1038.98	180.0	2300.996	2	2545.578	2545.578	1	1.048
2453.384	0.167	1691.343	1040.378	140.0	2453.384	2	2824.218	2824.218	1	1.034
1790.563	0.248	1339.588	1026.44	300.0	1790.563	2	1465.85	1465.85	1	1.111
1056.917	2.257	1056.917	1056.917	537.596	1056.917	2	0.0	0.0	0	1.526
2164.383	0.328	2072.61	2072.61	260.0	2164.383	2	205.397	205.397	1	1.108
1691.605	0.247	1263.85	1032.937	340.0	1691.605	2	1346.531	1346.531	1	1.132
599.032	1.839	1027.003	1027.003	480.0	956.22	2	228.753	228.753	1	1.336
1011.643	0.915	1053.089	1053.089	420.0	1011.643	2	201.633	201.633	1	1.276
1051.743	0.92	1051.743	1049.678	800.0	1051.743	2	249.478	249.478	1	1.51
2033.669	0.274	1512.853	1031.027	180.0	2033.669	2	2212.109	2212.109	1	1.052
2123.759	0.399	2030.361	2030.361	960.0	2123.759	2	149.161	149.161	1	1.405
2135.584	0.385	2045.082	2045.082	240.0	2135.584	2	273.651	273.651	1	1.097
1497.338	0.495	1280.558	1040.639	240.0	1497.338	2	1361.361	1361.361	1	1.092
1624.476	0.48	1379.638	1041.309	320.0	1624.476	2	1698.05	1698.05	1	1.109
1094.48	0.839	1094.48	1038.954	480.0	1094.48	2	598.322	598.322	1	1.258
1036.791	0.874	1050.69	1050.69	200.0	1036.791	2	340.952	340.952	1	1.12
2216.592	0.32	2012.707	2012.707	1080.0	2216.592	2	351.701	351.701	1	1.427
2461.812	0.219	2028.715	2028.715	180.0	2461.812	2	772.336	772.336	1	1.059
1818.749	0.208	1325.195	1040.676	300.0	1818.749	2	1523.9	1523.9	1	1.109
2292.541	0.259	2018.523	2018.523	340.0	2292.541	2	540.68	540.68	1	1.124
1335.923	0.523	1155.908	1030.146	220.0	1335.923	2	920.181	920.181	1	1.102
2842.295	0.116	1861.367	1031.462	120.0	2842.295	2	3555.646	3555.646	1	1.025
3030.597	0.106	1963.486	1035.475	120.0	3030.597	2	3882.132	3882.132	1	1.023
1859.552	0.205	1345.267	1037.489	300.0	1859.552	2	1660.0	1660.0	1	1.104
2179.739	0.372	2021.805	2021.805	600.0	2179.739	2	464.58	464.58	1	1.229
1404.925	0.414	1155.22	1041.17	260.0	1404.925	2	777.642	777.642	1	1.13
1017.691	0.876	1042.754	1042.754	200.0	1017.691	2	386.122	386.122	1	1.123
2338.611	0.15	1604.784	1033.736	680.0	2338.611	2	2553.968	2553.968	1	1.18
2859.389	0.145	2082.691	2021.071	260.0	2859.389	2	1617.188	1617.188	1	1.068
1806.743	0.247	1348.028	1042.384	800.0	1806.743	2	1452.29	1452.29	1	1.291
603.419	2.167	1033.915	1033.915	705.986	861.923	2	0.0	0.0	0	1.683
1095.798	1.179	1095.798	1095.798	1120.0	1095.798	1	0.0	0.0	0	2.205
1108.202	0.858	1108.202	1044.08	820.0	1108.202	2	523.492	523.492	1	1.45
1111.01	0.867	1111.01	1051.954	780.0	1111.01	2	500.272	500.272	1	1.433
1514.871	0.279	1179.996	1041.885	880.0	1514.871	2	769.252	769.252	1	1.438
2303.436	0.364	2038.366	2038.366	680.0	2303.436	2	665.17	665.17	1	1.239
887.549	1.14	887.549	887.549	460.0	887.549	1	0.0	0.0	0	1.591
987.781	1.104	987.781	987.781	440.0	987.781	1	0.0	0.0	0	1.492
2696.007	0.108	1771.895	1035.517	120.0	2696.007	2	3215.737	3215.737	1	1.027
1472.732	1.163	1472.732	1472.732	920.0	1472.732	1	0.0	0.0	0	1.727
2157.458	0.139	1488.297	1039.584	240.0	2157.458	2	2105.805	2105.805	1	1.072
2246.753	0.136	1531.433	1031.363	260.0	2246.753	2	2356.599	2356.599	1	1.073
2031.31	0.536	2031.31	2031.31	377.188	2031.31	2	0.0	0.0	0	1.192
2035.267	0.269	2035.267	2035.267	820.0	2035.267	1	0.0	0.0	0	1.433
1578.838	0.32	1240.879	1048.786	800.0	1578.838	2	1033.061	1033.061	1	1.355
1606.25	0.319	1261.114	1042.123	1000.0	1606.25	2	1080.907	1080.907	1	1.435
1853.113	0.241	1371.178	1040.101	200.0	1853.113	2	1571.61	1571.61	1	1.069
2138.221	0.386	2026.521	2026.521	640.0	2138.221	2	213.651	213.651	1	1.259
1914.409	0.211	1914.409	1914.409	440.0	1914.409	1	0.0	0.0	0	1.243
1178.772	0.581	1039.275	1031.081	780.0	1178.772	2	373.968	373.968	1	1.466
616.656	1.892	1036.835	1036.835	520.0	962.234	2	62.313	62.313	1	1.376
1270.911	1.073	1270.911	1270.911	200.0	1270.911	1	0.0	0.0	0	1.169
1716.327	1.079	1716.327	1716.327	580.0	1716.327	1	0.0	0.0	0	1.364
1309.568	1.094	1309.568	1309.568	480.0	1309.568	1	0.0	0.0	0	1.401
661.738	2.128	1067.783	1067.783	826.667	955.071	2	0.0	0.0	0	1.705
1227.876	1.078	1227.876	1227.876	240.0	1227.876	1	0.0	0.0	0	1.211
2048.959	0.154	1425.749	1022.842	320.0	2048.959	2	2025.079	2025.079	1	1.1
2340.147	0.428	2012.033	2012.033	660.0	2340.147	2	1045.079	1045.079	1	1.206
2938.204	0.175	2156.969	2024.203	140.0	2938.204	2	1817.778	1817.778	1	1.035
1859.696	0.205	1345.41	1036.651	300.0	1859.696	2	1660.0	1660.0	1	1.104
1869.58	0.205	1353.221	1028.462	300.0	1869.58	2	1671.61	1671.61	1	1.104
1025.02	0.949	1025.02	1025.02	119.546	1025.02	1	0.0	0.0	0	1.111
629.437	1.918	1036.028	1036.028	800.0	972.113	2	70.703	70.703	1	1.584
1278.433	0.413	1050.496	1030.649	200.0	1278.433	2	583.492	583.492	1	1.11
1651.467	0.253	1244.997	1029.24	600.0	1651.467	2	1278.821	1278.821	1	1.246
1206.104	0.57	1059.951	1029.502	720.0	1206.104	2	553.832	553.832	1	1.411
1400.932	0.324	1104.769	1030.788	340.0	1400.932	2	734.422	734.422	1	1.172
1495.355	0.314	1167.845	1030.406	520.0	1495.355	2	923.401	923.401	1	1.238
1472.716	0.267	1130.101	1033.114	340.0	1472.716	2	835.692	835.692	1	1.165
1572.85	0.257	1191.534	1034.941	300.0	1572.85	2	1047.891	1047.891	1	1.131
1368.39	0.411	1123.038	1033.016	600.0	1368.39	2	662.812	662.812	1	1.306
1541.48	0.307	1194.813	1030.466	500.0	1541.48	2	1071.111	1071.111	1	1.216
1645.707	0.246	1227.393	1024.307	140.0	1645.707	2	1289.887	1289.887	1	1.056
1523.592	0.272	1177.106	1034.085	760.0	1523.592	2	778.912	778.912	1	1.366
1977.945	0.418	2033.465	2033.465	808.073	1977.945	2	0.0	0.0	0	1.386
1474.571	0.316	1154.026	1031.151	480.0	1474.571	2	916.961	916.961	1	1.225
1599.813	0.259	1214.627	1029.294	760.0	1599.813	2	1011.111	1011.111	1	1.329
1945.445	0.496	2016.958	2016.958	218.549	1945.445	2	0.0	0.0	0	1.098
2026.926	0.541	2026.926	2026.926	937.188	2026.926	2	0.0	0.0	0	1.477
1426.108	0.271	1100.908	1021.179	520.0	1426.108	2	771.202	771.202	1	1.267
1458.886	0.313	1138.341	1024.939	220.0	1458.886	2	916.961	916.961	1	1.103
1732.529	0.248	1295.099	1021.976	940.0	1732.529	2	1464.58	1464.58	1	1.358
1837.87	0.185	1330.523	1029.188	600.0	1837.87	2	1405.85	1405.85	1	1.222
1417.09	0.516	1222.562	1035.807	760.0	1417.09	2	1034.331	1034.331	1	1.326
1032.631	0.89	1032.631	1021.299	940.0	1032.631	2	494.512	494.512	1	1.582
2409.214	0.296	2006.967	2006.967	1180.0	2409.214	2	916.1	916.1	1	1.394
2354.193	0.19	1647.099	1031.165	180.0	2354.193	2	2679.728	2679.728	1	1.045
1309.302	0.417	1078.463	1033.711	440.0	1309.302	2	526.712	526.712	1	1.238
1634.011	0.219	1215.093	1039.104	360.0	1634.011	2	1105.941	1105.941	1	1.153
1537.847	0.199	1145.61	1024.127	260.0	1537.847	2	871.927	871.927	1	1.124
1251.882	0.344	1030.943	1030.943	200.0	1251.882	2	409.342	409.342	1	1.121
1564.459	0.319	1228.241	1029.475	980.0	1564.459	2	1021.451	1021.451	1	1.437
2457.082	0.146	1662.302	1026.624	180.0	2457.082	2	2867.438	2867.438	1	1.044
1877.531	0.542	1877.531	1877.531	1000.0	1877.531	1	0.0	0.0	0	1.578
1765.391	0.184	1273.282	1031.937	480.0	1765.391	2	1384.58	1384.58	1	1.183
1813.063	0.161	1286.925	1030.339	280.0	1813.063	2	1485.85	1485.85	1	1.103
981.479	0.881	1028.792	1028.792	200.0	981.479	2	316.463	316.463	1	1.128
3795.152	0.094	2577.495	2020.845	120.0	3795.152	2	3439.955	3439.955	1	1.021
989.755	0.9	1027.022	1027.022	480.0	989.755	2	301.633	301.633	1	1.315
