AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
2340.318	1.109	3811.996	1538.764	996.0	2340.318	11	200.0	100.0	2	1.25
3820.908	0.768	5188.367	2515.928	1656.0	3820.908	8	0.0	0.0	0	1.381
